,Column1,Column2
0,0.0,0.0
1,0.01,0.005
2,0.02,0.009944573841086018
3,0.03,0.014837333776305663
4,0.04,0.019674960274268547
5,0.05,0.024458523872400786
6,0.06,0.02918405715940808
7,0.07,0.0338544686790358
8,0.08,0.0384698610664332
9,0.09,0.043032225006697906
10,0.1,0.04754113288761778
11,0.11,0.051994476161426856
12,0.12,0.056401598435264
13,0.13,0.06075781476985122
14,0.14,0.0650616952150461
15,0.15,0.06931425160032974
16,0.16,0.07351663289217801
17,0.17,0.07766778707401716
18,0.18,0.08176795843570354
19,0.19,0.0858218191498563
20,0.2,0.08982682138215063
21,0.21,0.09378267458973928
22,0.22,0.09769790801399544
23,0.23,0.10157054018790247
24,0.24,0.10539540891049527
25,0.25,0.10917354546346393
26,0.26,0.11290781507334746
27,0.27,0.11660241017063834
28,0.28,0.1202515500976022
29,0.29,0.12385603303557449
30,0.3,0.12741627547160092
31,0.31,0.1309326878366079
32,0.32,0.13440619716513993
33,0.33,0.13783736901389804
34,0.34,0.14122711477723374
35,0.35000000000000003,0.14457500900114423
36,0.36,0.14788646070707245
37,0.37,0.15115959167219645
38,0.38,0.15439329208352984
39,0.39,0.1575871699899229
40,0.4,0.16074498017693256
41,0.41000000000000003,0.16386599079887992
42,0.42,0.16694843000329235
43,0.43,0.16999753530260672
44,0.44,0.17300956470689333
45,0.45,0.17598981469808272
46,0.46,0.17893885506380158
47,0.47000000000000003,0.1818554566029694
48,0.48,0.18474173408760408
49,0.49,0.18759788465254007
50,0.5,0.19042543608194795
51,0.51,0.19321965477135966
52,0.52,0.1959856247798439
53,0.53,0.1987185388001959
54,0.54,0.2014200677764126
55,0.55,0.20408870468842658
56,0.56,0.20672663537924654
57,0.5700000000000001,0.2093363248842643
58,0.58,0.21191518087128627
59,0.59,0.21446272456302035
60,0.6,0.21697927588534005
61,0.61,0.2194652764135262
62,0.62,0.22192099836799728
63,0.63,0.22435236736494926
64,0.64,0.2267563426604076
65,0.65,0.22913539007348152
66,0.66,0.2314905509427144
67,0.67,0.23381819088637798
68,0.68,0.23609369595790147
69,0.6900000000000001,0.2383184451833797
70,0.7000000000000001,0.24051620308100716
71,0.71,0.24268721419588296
72,0.72,0.24481059620903367
73,0.73,0.2469082424862205
74,0.74,0.2489822565343248
75,0.75,0.2510329531969659
76,0.76,0.2530602443344907
77,0.77,0.2550656756197241
78,0.78,0.2570471753016125
79,0.79,0.2590045048022286
80,0.8,0.26093861563844356
81,0.81,0.2628491643402976
82,0.8200000000000001,0.2647376913825727
83,0.8300000000000001,0.26660310342919724
84,0.84,0.2684491313328186
85,0.85,0.270272494434649
86,0.86,0.27207589025978957
87,0.87,0.2738577989144886
88,0.88,0.27561856183026623
89,0.89,0.27735877738262316
90,0.9,0.2790791071687297
91,0.91,0.2807816846716469
92,0.92,0.28246637842900535
93,0.93,0.28413187811045737
94,0.9400000000000001,0.2857610206120307
95,0.9500000000000001,0.28737035906656316
96,0.96,0.2889623032386387
97,0.97,0.2905350303333553
98,0.98,0.29209180524464073
99,0.99,0.2936324483649006
100,1.0,0.2951550165644193
101,1.01,0.29665896495755734
102,1.02,0.29814729154305863
103,1.03,0.29961889264195424
104,1.04,0.30107430043625677
105,1.05,0.3025129418827582
106,1.06,0.30393445448730333
107,1.07,0.30533885750972134
108,1.08,0.30672860699608107
109,1.09,0.308101256713518
110,1.1,0.30945947706350896
111,1.11,0.31080369392762486
112,1.12,0.3121320798173453
113,1.1300000000000001,0.31344418356494547
114,1.1400000000000001,0.3147411033381164
115,1.1500000000000001,0.3160235987848119
116,1.16,0.31729059664427217
117,1.17,0.31854313753260577
118,1.18,0.3197802880374087
119,1.19,0.3210022323901419
120,1.2,0.32220933344506375
121,1.21,0.3234025163387925
122,1.22,0.3245830975194613
123,1.23,0.32574991360630373
124,1.24,0.32690246800546174
125,1.25,0.32804102611709346
126,1.26,0.32916768582483363
127,1.27,0.330282324944156
128,1.28,0.3313840365053107
129,1.29,0.33247279889040804
130,1.3,0.33354858644594587
131,1.31,0.334611296664238
132,1.32,0.3356611940239858
133,1.33,0.33669809641351195
134,1.34,0.3377230880206711
135,1.35,0.33873737085936245
136,1.36,0.33973963099671245
137,1.37,0.34073048482789775
